filename,PDmin,PDmax,PDmean,PDmedian,total number of channel 1 obj perimeter pixels
Noisy Centroid-Centroid 4obj.tif,13.41640786499874,71.40028011149536,26.97988816622525,18.34368825274021,430
Noisy Centroid-Centroid 5obj.tif,13.41640786499874,71.7007670809734,27.0249690904782,18.248287590894662,431
